,Word,Start_time_combined,End_time_combined,Log_Freq_HAL,WordRate,lex_surprisal_bits,pos_surprisal_bits,phoneme_surprisal_bits
268,the,113.852993,113.932993,16.955,1,1.73,15.18,2.44
269,dog's,113.932993,114.282993,7.834,1,2.06,,0.94
270,head,114.282993,114.702993,11.6,1,1.88,14.72,2.56
271,the,115.632993,115.732993,16.955,1,6.08,3.46,6.81
272,tail,115.732993,116.152993,9.33,1,7.42,,9.84
273,wagged,116.152993,116.452993,3.97,1,11.96,,3.25
274,harder,116.452993,117.032993,9.788,1,13.89,9.31,3.25
275,henry,118.012993,118.422993,0,1,6.57,8.99,5.44
276,took,118.422993,118.722993,11.377,1,5.34,5.09,5.9
277,one,118.722993,119.202993,14.172,1,5.53,9.27,7.66
278,last,119.202993,119.822993,12.582,1,5.44,0.49,5.55
279,lick,119.822993,120.312993,8.393,1,5.55,,5.9
280,oh,121.352993,121.862993,11.64,1,10.85,13.76,12
281,all,121.862993,122.282993,14.346,1,9.79,6.08,12.87
282,right,122.282993,122.972993,12.87,1,2.04,7.31,2.94
283,he,123.102993,123.232993,13.98,1,3.51,11.44,3.76
284,said,123.232993,123.722993,12.772,1,4.69,7.94,4.76
285,if,124.282993,124.402993,14.653,1,6.64,5.31,5.98
286,you're,124.402993,124.512993,12.328,1,5.49,,1.67
287,that,124.512993,124.722993,15.476,1,7.63,4.51,8.1
288,hungry,124.722993,125.332993,8.748,1,5.95,4.65,5.41
289,you,125.732993,125.852993,15.431,1,2.89,1.58,4.07
290,might,125.852993,126.102993,12.534,1,6.65,2.28,8.01
291,as,126.102993,126.212993,14.787,1,1.93,,2.72
292,well,126.212993,126.472993,13.222,1,0,18.91,0
293,have,126.472993,126.732993,14.915,1,4.78,,6.56
294,it,126.732993,127.072993,15.365,1,5.4,6.78,7.55
295,the,128.092993,128.212993,16.955,1,5.91,5.41,6.08
296,ice,128.212993,128.472993,10.547,1,10.06,11.98,12.19
297,cream,128.472993,128.732993,9.197,1,0.01,15.79,0.01
298,cone,128.732993,129.112993,8.172,1,0.61,10.59,0.73
299,disappeared,129.112993,129.812993,8.725,1,9.35,6.98,7.56
300,in,129.812993,130.082993,15.897,1,6.15,9.3,6.14
301,one,130.082993,130.562993,14.172,1,4.48,0.6,6.4
302,gulp,130.562993,130.992993,6.521,1,7.32,,3.53
303,now,131.732993,132.002993,13.304,1,9.16,6.7,9.2
304,go,132.002993,132.172993,12.923,1,7.33,6.94,8.29
305,away,132.172993,132.932993,11.924,1,3.75,4.25,3.49
306,henry,133.202993,133.512993,0,1,4.7,5.18,4.53
307,told,133.512993,133.752993,11.561,1,7.5,9.7,5.13
308,the,133.752993,133.822993,16.955,1,3.46,13.52,4.52
309,dog,133.822993,134.192993,10.974,1,0.9,0.13,1.2
310,i,134.662993,134.852993,0,1,8.55,9,10.26
311,have,134.852993,134.992993,14.915,1,5.36,0.78,6.06
312,to,134.992993,135.062993,16.354,1,1.59,7.18,2.19
313,catch,135.062993,135.292993,10.025,1,9.25,14.83,5.94
314,a,135.292993,135.352993,16.177,1,3.5,,2.76
315,bus,135.352993,135.652993,10.485,1,3.69,,3.71
316,for,135.652993,135.782993,15.417,1,6.06,4.65,7.53
317,home,135.782993,136.242993,12.157,1,6.85,1.02,4.88
318,he,137.232993,137.372993,13.98,1,3.14,3.63,3.94
319,started,137.372993,137.792993,11.496,1,7.36,15.62,2.89
320,for,137.792993,137.962993,15.417,1,10.1,1.29,9.28
321,the,137.962993,138.052993,16.955,1,1.58,,2.22
322,door,138.052993,138.522993,10.893,1,6.47,0.46,6.35
323,the,139.442993,139.552993,16.955,1,4.47,6.44,5.03
324,dog,139.552993,140.062993,10.974,1,0.26,0.05,0.27
325,started,140.062993,140.622993,11.496,1,4.92,10.43,3.62
326,too,140.622993,140.982993,12.87,1,10.75,2.57,2.7
327,go,142.542993,142.642993,12.923,1,8.96,8.89,10.02
328,away,142.642993,143.082993,11.924,1,0.89,,1.15
329,you,143.082993,143.822993,15.431,1,5.16,7.75,6.81
330,skinny,143.822993,144.362993,8.125,1,12.89,,6.62
331,old,144.362993,144.622993,12.381,1,3.32,1.65,4.76
332,dog,144.622993,145.042993,10.974,1,0.65,12.35,0.9
333,henry,145.822993,146.112993,0,1,3.91,6.18,3.71
334,didn't,146.112993,146.342993,12.259,1,7.06,0.34,8.64
335,say,146.342993,146.612993,12.792,1,3.55,6.5,3.8
336,it,146.612993,146.702993,15.365,1,6.5,1.27,7.76
337,very,146.702993,146.952993,13.284,1,10.53,4.77,15.19
338,loudly,146.952993,147.582993,8.005,1,6,2,6.01
339,go,147.882993,148.432993,12.923,1,6.67,10,9.18
340,on,148.432993,148.752993,15.079,1,6.59,6.39,9.51
341,home,148.752993,149.322993,12.157,1,8.7,11.17,5.24
342,the,150.592993,150.682993,16.955,1,4.81,12.44,5.73
343,dog,150.682993,151.012993,10.974,1,0.2,,0.22
344,sat,151.012993,151.382993,10.414,1,7.14,9.5,3.03
345,down,151.382993,151.652993,12.59,1,2.62,1.94,3.76
346,at,151.652993,151.732993,14.498,1,4.35,4.52,6.02
347,henry's,151.732993,152.172993,0,1,10.65,,3.62
348,feet,152.172993,152.522993,10.6,1,4.28,9.78,5.41
349,henry,153.652993,154.052993,0,1,5.8,6.59,3.55
350,looked,154.052993,154.312993,11.075,1,5.44,5.84,5.82
351,at,154.312993,154.402993,14.498,1,1.42,13.77,2
352,the,154.402993,154.472993,16.955,1,1.12,,1.58
353,dog,154.472993,154.912993,10.974,1,1.3,13.47,1.63
354,and,155.632993,155.772993,16.187,1,2.27,12.3,3.09
355,the,155.772993,155.902993,16.955,1,5.68,,5.29
356,dog,155.902993,156.432993,10.974,1,0.21,0.05,0.29
357,looked,156.542993,156.852993,11.075,1,3.69,12.86,4.66
358,at,156.852993,156.922993,14.498,1,0.7,,1
359,henry,156.922993,157.392993,0,1,3.92,,2.13
360,i,158.502993,158.692993,0,1,10.42,,12.16
361,don't,158.692993,158.892993,13.691,1,5.26,7.19,6.8
362,think,158.892993,159.122993,13.389,1,3.18,,4.59
363,you've,159.122993,159.322993,11.139,1,8.15,,4.61
364,got,159.322993,159.622993,12.615,1,3.59,,5
365,a,159.622993,159.712993,16.177,1,2.15,,3.08
366,home,159.712993,160.212993,12.157,1,6.52,15.27,5.67
367,you're,161.072993,161.312993,12.328,1,6.82,,4.33
368,awful,161.312993,161.692993,9.082,1,13.05,4.92,9.21
369,thin,161.692993,162.412993,9.565,1,11.23,9.48,11.97
370,your,162.892993,163.102993,14.353,1,7.06,13.63,4.96
371,ribs,163.102993,163.642993,7.522,1,10.26,7.26,9.7
372,show,163.642993,163.932993,12.094,1,11.66,3.95,9.4
373,right,163.932993,164.192993,12.87,1,8.97,11.55,9.62
374,through,164.192993,164.302993,12.631,1,6.25,9.64,8.92
375,your,164.302993,164.492993,14.353,1,2.07,,2.3
